Region Name,Region Type,Data Type,Dec 2003,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013
US,country,All Homes,"154,500","155,600","156,800","158,100","159,400","160,700","162,000","163,600","165,100","166,700","167,900","169,200","170,700","172,400","174,100","175,700","177,200","178,600","180,300","182,300","183,800","185,200","186,800","188,500","189,700","190,500","191,100","192,000","193,100","194,000","194,500","194,700","195,000","195,500","196,000","195,900","195,900","195,800","195,800","196,000","196,400","196,300","195,700","194,800","194,200","193,400","192,500","191,600","190,600","189,200","187,500","185,800","184,100","182,800","181,400","180,200","179,100","177,700","176,000","174,200","173,300","173,600","174,000","173,600","172,900","172,000","171,300","170,400","169,700","169,200","168,800","168,300","167,700","167,200","166,600","165,900","165,000","164,500","164,000","163,400","162,300","161,200","160,500","160,000","159,200","158,200","157,200","156,300","155,800","155,300","154,500","153,800","153,300","152,900","152,600","152,300","152,000","151,800","151,900","152,300","152,400","152,700","153,400","154,100","154,700","155,700","156,700","157,700","158,400","159,100","159,800","160,600","161,400","162,300","163,600","164,900","166,000","166,900","167,900","168,900"
Alabama,state,All Homes,"104,100","103,900","103,900","104,300","105,100","105,700","106,600","107,400","108,400","109,600","110,700","111,700","112,300","113,000","114,000","115,800","117,200","117,900","118,400","119,300","120,000","120,600","121,300","122,300","123,200","124,100","124,700","125,100","125,600","126,100","126,600","127,200","127,600","127,700","127,800","128,300","129,000","129,300","129,200","129,200","129,200","129,100","129,300","129,700","129,900","130,100","130,000","129,500","128,400","127,400","126,800","126,500","126,600","126,700","127,400","127,900","127,800","127,400","127,400","127,100","127,800","129,200","130,800","131,700","132,400","132,500","132,400","132,000","131,500","131,500","131,900","132,100","131,900","131,300","130,400","129,500","128,800","128,200","127,600","127,000","126,400","125,600","124,700","124,000","123,400","122,800","122,000","121,100","120,300","120,200","120,100","120,000","120,100","120,100","119,700","119,800","119,800","119,900","120,300","120,500","120,700","121,200","121,600","121,700","121,900","122,400","122,800","123,400","124,100","124,600","125,100","125,200","125,100","125,100","125,200","125,500","126,200","127,000","127,300","127,400"
Alaska,state,All Homes,"183,600","185,000","187,000","189,100","190,000","190,900","192,100","192,200","191,600","193,000","195,900","198,200","199,700","201,300","203,100","204,800","205,900","207,500","210,500","215,300","218,900","221,000","223,200","228,000","232,900","235,900","237,400","239,300","239,700","239,100","238,100","236,500","235,100","235,900","237,800","239,800","243,700","248,600","254,400","259,400","262,700","262,800","263,000","263,300","263,900","263,100","261,600","259,800","258,900","258,400","258,400","259,200","261,200","262,900","264,600","266,400","267,600","267,700","268,800","271,100","273,400","274,400","274,300","275,000","275,700","275,900","273,200","270,400","272,900","281,900","289,100","290,600","290,800","294,300","293,600","286,000","280,500","283,300","289,900","294,800","294,700","293,600","293,700","293,900","289,400","276,500","265,100","262,800","263,800","263,100","262,800","262,700","262,200","260,400","257,800","255,400","254,000","253,300","253,000","254,400","256,800","258,000","258,500","259,900","261,700","262,400","262,400","262,400","263,700","270,100","278,600","280,800","278,900","279,900","281,400","281,200","280,300","277,500","276,800","278,600"
Arizona,state,All Homes,"153,800","155,000","156,200","157,600","158,900","160,300","162,100","164,400","167,400","171,000","175,100","179,400","183,700","187,900","192,800","198,700","205,800","213,700","221,900","230,000","237,400","243,700","249,300","254,100","257,600","259,800","261,500","262,700","263,400","263,400","263,100","262,100","260,800","259,400","257,700","256,000","254,300","252,500","250,700","248,900","247,100","245,400","243,600","241,800","240,100","238,500","236,700","234,600","231,800","228,200","224,200","220,300","216,500","213,000","209,500","205,900","202,400","198,800","195,100","191,200","188,500","187,500","186,100","183,300","180,400","177,200","174,000","171,000","168,500","166,300","164,200","162,200","160,200","158,600","157,200","155,600","153,800","152,000","150,100","148,000","145,700","143,600","142,000","140,500","139,100","138,500","138,900","139,500","139,300","138,400","137,600","136,900","136,100","135,700","136,000","136,800","137,500","138,100","139,100","140,400","141,800","143,600","145,800","148,300","151,000","154,200","157,300","159,400","160,600","161,800","163,200","165,000","167,400","170,100","172,900","175,100","176,900","177,400","177,200","177,200"
Arkansas,state,All Homes,"80,000","80,400","80,700","81,100","81,300","81,600","82,300","83,200","83,700","84,200","84,600","84,900","85,300","85,900","86,700","87,100","87,600","88,400","89,400","90,100","90,700","91,200","91,600","92,300","92,900","93,200","93,600","94,100","94,500","94,800","94,700","95,000","95,600","95,800","95,300","95,400","95,900","96,300","96,600","97,200","97,600","97,800","98,000","98,300","98,400","98,700","99,300","99,900","99,600","99,300","99,300","99,500","99,300","99,100","98,800","98,200","97,900","98,100","98,400","98,100","98,500","99,300","99,700","99,600","99,900","99,900","99,600","99,400","99,400","99,500","99,600","99,600","99,800","99,900","99,800","99,500","99,600","100,000","100,200","99,900","99,500","99,200","99,100","99,000","98,800","98,400","98,100","97,700","97,300","97,000","96,700","96,300","95,700","95,300","95,000","94,800","94,600","94,700","94,700","94,700","94,600","94,800","95,300","96,100","97,000","97,600","98,000","98,700","99,400","99,700","100,500","101,500","102,200","102,600","103,500","104,900","106,200","107,000","107,900","108,600"
California,state,All Homes,"367,500","374,400","381,500","389,300","398,200","407,700","417,500","427,100","435,800","443,300","450,100","456,500","462,300","468,000","474,000","479,900","485,900","492,100","498,500","505,400","512,000","517,900","523,400","528,700","532,400","534,500","536,100","537,500","538,300","538,300","537,700","536,500","534,700","532,400","529,900","527,200","523,900","521,100","519,300","517,200","514,200","510,800","506,600","501,600","496,400","490,700","485,100","479,200","471,700","463,100","453,900","443,800","433,000","422,800","413,100","403,500","394,300","385,900","378,000","370,000","364,500","361,500","358,500","354,400","350,800","347,200","344,100","341,800","340,100","338,900","338,400","338,300","338,300","338,100","337,700","337,500","337,500","337,400","336,500","334,800","333,300","331,700","330,300","328,800","327,100","324,800","322,700","320,500","318,000","315,200","312,400","310,300","308,500","307,000","305,900","305,200","304,600","304,200","304,200","304,900","306,000","307,700","310,100","312,900","315,800","319,200","322,900","326,800","330,900","335,500","341,000","347,500","354,800","362,000","369,300","376,700","383,300","389,100","394,200","398,100"
Colorado,state,All Homes,"206,800","207,500","208,200","208,900","209,400","210,000","210,700","211,200","211,500","211,900","212,300","212,500","213,100","214,300","215,900","217,000","217,600","218,200","218,700","219,100","219,600","220,100","220,400","220,900","221,500","222,500","223,300","223,400","223,600","223,700","223,500","223,800","224,400","224,700","225,300","226,300","227,100","226,900","226,400","226,200","226,100","226,300","227,000","227,500","227,000","226,900","227,000","226,600","224,600","222,100","219,800","218,800","218,300","218,400","218,500","218,300","217,800","217,100","216,100","214,900","214,700","215,300","215,800","215,400","215,100","214,600","214,100","213,800","213,900","213,800","213,500","213,200","213,100","213,100","213,200","213,100","213,000","212,700","211,700","210,500","209,600","209,200","209,300","209,200","208,600","207,700","206,800","205,800","204,600","203,600","202,700","202,200","201,800","201,700","201,600","201,800","202,000","202,400","203,100","204,100","205,000","206,100","207,100","208,400","210,200","212,100","213,700","215,300","216,600","217,800","219,400","221,300","223,200","225,000","226,900","228,700","230,300","231,500","232,000","232,200"
Connecticut,state,All Homes,"238,000","239,900","241,900","244,200","246,900","249,900","253,100","256,200","259,200","262,200","265,000","267,500","269,900","272,100","274,200","276,300","278,300","280,300","282,400","284,500","286,800","288,700","290,200","291,900","293,400","294,300","294,900","295,500","296,000","296,100","296,100","295,800","295,400","294,900","294,600","294,300","293,800","293,600","293,800","294,000","294,100","293,500","292,500","291,400","290,500","289,400","288,400","287,500","286,100","284,200","282,400","280,800","279,400","278,100","276,900","275,600","274,200","272,900","271,400","269,600","268,100","267,200","266,300","264,800","263,000","261,500","260,400","259,700","259,100","258,500","258,100","257,800","257,400","257,000","256,600","256,300","256,100","256,000","255,600","254,400","252,900","251,700","250,500","249,100","247,700","246,800","246,000","244,900","243,500","242,400","241,500","240,700","239,600","238,300","237,100","235,800","234,700","234,000","233,400","232,800","232,600","232,300","231,900","231,400","231,300","231,100","230,900","230,900","231,200","231,600","231,700","232,000","232,400","232,700","233,300","234,100","234,700","235,200","235,600","235,700"
Delaware,state,All Homes,"165,900","167,400","169,000","170,800","172,600","174,800","177,200","179,500","181,900","184,500","186,800","189,100","191,600","194,100","196,200","198,100","200,500","203,200","206,500","209,900","213,300","216,500","219,600","222,200","223,800","224,800","226,000","227,200","228,000","228,500","229,200","230,000","230,400","230,600","231,200","232,100","232,600","232,600","232,500","232,800","233,200","233,200","232,600","232,400","232,000","231,400","230,600","229,900","228,800","227,700","226,600","225,200","223,600","222,300","221,200","220,100","219,400","219,000","218,300","217,100","216,900","218,000","219,200","219,300","220,000","221,700","223,000","223,300","223,100","222,600","222,200","222,000","221,300","219,900","218,200","216,600","215,600","215,100","213,900","211,500","208,700","206,000","203,700","202,000","201,100","200,500","200,300","200,500","199,700","197,300","194,700","193,100","191,700","189,900","188,000","186,800","186,100","185,500","185,100","185,000","184,600","184,000","183,600","183,600","183,700","184,200","184,800","185,400","185,700","186,100","186,600","187,300","188,000","188,900","190,400","192,300","194,400","197,000","199,200","200,300"
Florida,state,All Homes,"153,000","154,700","156,700","158,900","161,500","164,100","166,900","170,100","173,600","177,100","180,700","184,600","188,600","192,600","196,700","201,500","206,900","212,700","218,500","224,100","229,700","235,100","239,900","244,300","247,900","250,600","253,000","255,200","256,500","257,100","257,300","257,000","256,000","254,700","253,200","251,500","249,400","247,200","245,300","243,000","240,100","237,100","234,300","231,300","228,000","224,900","221,700","218,400","214,900","211,000","206,500","202,100","197,700","193,700","189,500","185,500","181,500","177,500","173,400","169,200","166,100","164,500","162,900","160,300","157,500","154,900","152,700","150,800","149,000","147,700","146,600","145,800","145,000","144,000","142,900","142,100","141,400","140,700","139,600","138,500","137,400","136,100","134,800","133,800","132,600","131,500","130,500","129,600","128,800","128,000","127,100","126,100","125,400","124,900","124,400","124,200","124,300","124,500","124,900","125,700","126,400","127,000","127,700","128,600","129,500","130,400","131,100","131,800","132,700","133,600","134,600","135,900","137,500","139,100","140,900","142,800","144,700","146,700","149,100","151,300"
